stamp_ns,x,y,z,qx,qy,qz,qw
1790244979962057113,1.3462576439942655,0.5409592401847724,-0.04083477135222186,0.006202948853916708,-0.00788790689614668,0.36634750617461026,0.9304239942466077
1790244980062062263,1.3750553107778465,0.563713686802442,-0.021834567908363592,0.006211283140114136,-0.008113309323351319,0.37554238057268563,0.9267488950990055
1790244980162072181,1.402945818944955,0.5937314160877354,0.010180969034371745,0.006077020693422529,-0.008061605275562432,0.3849153704116231,0.9228966561650339
1790244980262072324,1.430840425710651,0.6252552718231617,0.039420306538396316,0.006168403860505574,-0.008300507337879232,0.3939804896184958,0.9190606215977045
1790244980362072229,1.4585279965196285,0.6539953155608033,0.05861527465415588,0.005954185562305904,-0.00830552741126058,0.40308694804590883,0.9151046269162806
1790244980462062120,1.484369423439602,0.6811365729457074,0.06003568603509434,0.005879202902369576,-0.008258427149915934,0.4126016438522882,0.9108551568962346
1790244980562072277,1.5079215799369763,0.7114255643395402,0.04211010542208055,0.005689384845190064,-0.008519789669993573,0.4216054662299613,0.906721497996441
1790244980662072181,1.5332948883606727,0.7453883185548944,0.011663415739741166,0.005837683514748881,-0.008359158035775444,0.4306266243060219,0.902472579288005
1790244980762052536,1.5598215268768987,0.7770599743644949,-0.018013040868012642,0.0056072359035141545,-0.00834658761124949,0.4393487849996668,0.8982602843830461
1790244980862072229,1.586326117251512,0.8071596212634661,-0.03329676003337765,0.005534076457954685,-0.008479539306158154,0.4483291593797496,0.8938111860234128
1790244980962067127,1.602066218222946,0.8397676827030937,-0.03409845035917691,0.005539019114633873,-0.00855799386981898,0.45732174342985493,0.8892428818912582
1790244981062067270,1.625100492216226,0.8682559355652553,-0.013595128020381162,0.00530442369864902,-0.00857694124328356,0.4661989141461898,0.8846224458020878
1790244981162072181,1.6478697260058994,0.9022862939116472,0.017678664288566855,0.005177711707146552,-0.008496581023386357,0.4749832098475564,0.8799386056851456
1790244981262062311,1.6699492727227405,0.9356250544782831,0.048093312201262506,0.00505460899922608,-0.008917466844356,0.4838228185580518,0.8751059421323228
1790244981362067222,1.6897717127581937,0.9698337693919499,0.06627915360617412,0.004917065725585445,-0.0088389129440515,0.4926373535843168,0.8701759212572296
1790244981462057113,1.7131572329467386,1.0012136274175154,0.06673149397214548,0.004926856880213196,-0.008853965623715196,0.5013337345929136,0.8651946716970359
1790244981562067270,1.7293428343624144,1.0375661585960503,0.05025148527459015,0.004919067126155222,-0.009076830692674514,0.5098307796016207,0.8602127586206736
1790244981662057161,1.747204333846608,1.0723820705976623,0.019672232193133903,0.004836914061178613,-0.008953833196918821,0.5184311546595071,0.8550588114344279
1790244981762062311,1.7661439423689254,1.1077199813694496,-0.009300175364208118,0.004567970555682384,-0.008833120860055886,0.5267912910594658,0.8499364948539236
1790244981862057209,1.7829838355254044,1.143369191129424,-0.02640560830735771,0.004671411583877442,-0.009000851733538488,0.5352322913279296,0.8446440415355654
1790244981962057113,1.7986884728384314,1.1780866005881405,-0.02484702953089618,0.004499086620812814,-0.009118831505664143,0.5438892978479947,0.8390953681303217
1790244982062072277,1.818773654404923,1.2161393556006286,-0.00599611054547866,0.004332017209839148,-0.009125387649524053,0.552238166697441,0.8336251964579641
1790244982162057161,1.8296842511067632,1.252024024099073,0.024672590760282703,0.004296034246221806,-0.009194603669153733,0.5604995313134058,0.8280925544589575
1790244982262062311,1.845273455330406,1.2918597605964817,0.056014986583011635,0.004204425228990308,-0.009390166644859347,0.5687164387552069,0.8224693063380893
1790244982362072229,1.857088189271122,1.3248656200790452,0.07528376637865437,0.004198439117590228,-0.009564647487578105,0.5769110324577678,0.816740198138742
1790244982462072134,1.8681836654372075,1.3654740790649724,0.07572199903980611,0.0040732834670972945,-0.009402217658454191,0.5850341283901894,0.81094394090061
1790244982562067270,1.8839965085750194,1.4046333281133712,0.05762056246156413,0.0040220553059323715,-0.00952587079295381,0.5932748657659723,0.80493354664028
1790244982662062168,1.8934628539615035,1.4426219999305379,0.02891877988920835,0.003969826286936554,-0.00943220129444312,0.6012149738726418,0.7990217952278207
1790244982762072324,1.902448561072626,1.4781755846908495,-0.0021204159696760535,0.0038159459696961904,-0.009377265672333573,0.6091722059424363,0.7929733469366209
1790244982862067222,1.9116334269737507,1.5166266658209593,-0.01877952273196989,0.0038903638280372247,-0.009704891008569702,0.616976389689192,0.7869122026793421
