stamp_ns,header_stamp_ns,x,y,z,qx,qy,qz,qw
1790245358378593662,1790244984662057161,1.9539905570915221,2.2199649807227555,0.04159125782384056,0.001980829580059521,-0.009973013033557075,0.7479878004525627,0.6636345874793915
1790245358477394896,1790244984762057304,1.9458198351624736,2.2639170694862116,0.0123739247904948,0.0019362318602127132,-0.010115819928293232,0.7546158108994961,0.6560860455256149
1790245358577821717,1790244984862057209,1.939417280072773,2.297426403234964,-0.005261098578519689,0.0020407872546525274,-0.010076910208943022,0.7609831084095375,0.6486902186583018
1790245358679644850,1790244984962057113,1.9326642652886523,2.340494384929936,-0.003953983346724667,0.0015675623490411896,-0.010052350960539556,0.7675330191770815,0.6409286679974088
1790245358778983882,1790244985062067270,1.927385255728333,2.376630470051784,0.015376445057902274,0.0015138924987982269,-0.010011972047551554,0.7738764805344199,0.6332556051235922
1790245358878363926,1790244985162067174,1.914376743636518,2.4188234491071854,0.045853621168370315,0.001446222370128623,-0.010066481621689527,0.7800987776578986,0.62557371386978
1790245358977572655,1790244985262062311,1.9079303835078913,2.4538196220823276,0.07754054838434143,0.001600282356212682,-0.010088632849698628,0.786382148421754,0.6176558711991239
1790245359080900781,1790244985362062215,1.8969703809649225,2.494632494953899,0.0953312856938845,0.0012463140859086989,-0.010245171971409717,0.7926212082096639,0.6096270199460296
1790245359178778140,1790244985462057113,1.886703952476601,2.531926892685098,0.09670586059598867,0.0011136800479142662,-0.01030127311846153,0.7986393155606507,0.6017207717282539
1790245359277676966,1790244985562067270,1.8731103158596007,2.5735984725700276,0.07976466588564861,0.0011007781198517797,-0.010440221855894742,0.8046700021329038,0.593629495326923
1790245359379050408,1790244985662052392,1.8612230099114635,2.61180892715063,0.048851462180504956,0.0009769511334843937,-0.010271783096604002,0.8106566679979812,0.5854308692479746
1790245359480173715,1790244985762072324,1.8465051488801407,2.646378864983234,0.01881141672841439,0.0009017783459868282,-0.010154060168979125,0.8162392170870802,0.5776241185636977
1790245359578999894,1790244985862067222,1.8369521054372773,2.6814198609835254,0.00029057384804645736,0.0008189414478064597,-0.010182986694989939,0.82199027430777,0.5694098919581714
1790245359679250772,1790244985962057113,1.823840786187252,2.7183715808923985,0.0010802240603526101,0.0005619746864618865,-0.010231765484644557,0.8275309859048509,0.5613265204195852
1790245359778121682,1790244986062057256,1.8070128753801704,2.752229026821289,0.021201304045655844,0.0005087842275419087,-0.010163464417894258,0.8331567318477124,0.5529433111142262
1790245359880979879,1790244986162067174,1.7910210156768278,2.7896975101751824,0.05094746208499303,0.0003731120950736144,-0.010225017267057733,0.8387087254137482,0.5444841446025547
1790245359981141471,1790244986262067317,1.7783773561402996,2.825667782856629,0.08244791472055533,0.00027621535817344285,-0.010292507592968203,0.8440921783265054,0.5360992282031423
1790245360081308029,1790244986362057209,1.757812430885038,2.862845975502675,0.10084130037994123,6.773476273379526e-05,-0.010251403038632801,0.8493666414074936,0.5277037166927618
1790245360178226156,1790244986462072134,1.7383387899139884,2.8967361126272895,0.1009250573496381,0.00012021159812989307,-0.01018025497713942,0.8547034444615361,0.5190167338177178
1790245360279429588,1790244986562057256,1.7171343774406833,2.933713053567432,0.0834215040750019,8.948614684480155e-05,-0.01035979473233538,0.8598511843107572,0.5104396217812288
1790245360378322837,1790244986662062168,1.697675504595606,2.9670197109486223,0.05247301532805543,-5.777695964852593e-05,-0.010202076989252844,0.8650694893963389,0.5015482955826935
1790245360477341588,1790244986762067317,1.6782492138249603,3.0040819204783498,0.02253769007137078,-6.338298692228903e-05,-0.010012366344082212,0.8700120067344214,0.4929288555565355
1790245360581106933,1790244986862057209,1.6603587535430604,3.035623979705262,0.004912249443702662,-0.00018957838309991072,-0.010133019141072785,0.8746865725293657,0.4845830019919107
1790245360679043576,1790244986962067127,1.639030168051135,3.0680441327827115,0.005323604696005757,-0.0004044860019223871,-0.010375781255496038,0.8795117791210476,0.4757638173939664
1790245360777667634,1790244987062072277,1.6169488666389504,3.098461117118451,0.02666047862505855,-0.00046365666352642646,-0.01031169612143584,0.8842148004041485,0.46696642351606676
1790245360881478347,1790244987162072181,1.5898207486396212,3.1293749848463097,0.05686035509085094,-0.00039350619214145483,-0.010239651048624494,0.8889314291275864,0.45792565882247177
1790245360980368578,1790244987262067317,1.5665597229109567,3.163685851092365,0.08487922064123152,-0.0006471812595629906,-0.01019055644428994,0.8933663534112617,0.44921296987950204
1790245361079174401,1790244987362062215,1.5459816146373573,3.1966407400068704,0.1037977265652476,-0.0007326569678198721,-0.010342990501919598,0.8978969861879879,0.44008350111688244
1790245361177903780,1790244987462062120,1.5214031883192198,3.225394863910125,0.10539592266177025,-0.0008800898708045927,-0.010325543061152367,0.9022392789360598,0.43111122943710034
1790245361279494471,1790244987562062263,1.4929324216033213,3.258640740445697,0.08737179016507665,-0.001016068609843109,-0.010436826053768127,0.9064365774023248,0.4222117613392314
1790245361379214654,1790244987662072181,1.469438562583648,3.289055066876324,0.056337204070064664,-0.0009012240102186079,-0.010203786506602593,0.9106936935261115,0.41295528463441544
1790245361478360033,1790244987762062311,1.4422570711112783,3.317498417927211,0.025493186105542753,-0.0012886151298416738,-0.009850662994239487,0.9148038776610539,0.4037761376374655
1790245361578233579,1790244987862062215,1.416910853574374,3.341783048438224,0.009064764102610923,-0.0012353446257285959,-0.01025661952203751,0.9186864964369267,0.3948523736076408
1790245361679038791,1790244987962057113,1.391085800068775,3.374341184727359,0.009591772595791399,-0.001293477828589708,-0.010277375746089988,0.9227013995291098,0.3853762184793042
1790245361778572087,1790244988062062263,1.3580334601104003,3.4019243500128606,0.027200068063706794,-0.0013087068761777052,-0.010070174933528122,0.9263984747286539,0.37640768441019706
1790245361877826435,1790244988162067174,1.3310180148940802,3.427628050462738,0.05692799720902171,-0.0015782919893167074,-0.009953230866500799,0.9301565490856525,0.3670248443665396
1790245361979386327,1790244988262067317,1.2998430865902146,3.454440096435724,0.08834495262534232,-0.0015660783345955473,-0.010162827652278633,0.9338023865275855,0.3576413947624669
1790245362077730827,1790244988362067222,1.2694060907351714,3.478504366239047,0.10720238770102165,-0.0016590448040517804,-0.01034041583583154,0.93738772768868,0.34813010692674307
1790245362178675036,1790244988462057113,1.2441020569254821,3.506125405603888,0.10641693491764052,-0.001971734882995517,-0.010170692136953473,0.940843241406288,0.3386837232324629
1790245362279290432,1790244988562062263,1.2089150603363459,3.5324683138752375,0.08883991404325521,-0.0019909969344646945,-0.01010451564578822,0.9441648394014127,0.32931245152948535
1790245362378527355,1790244988662057161,1.1750811920131972,3.5550174354883985,0.059653578617052165,-0.0020594348687736435,-0.01016214545229997,0.9473977415630884,0.3198906200695336
